Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
202;CDAr2 Reference Profile for EHR Interoperability;Electronic Health Records Work Group;;Administrative;Gary Dickinson;Archived;12/11/2007;28/10/2008;Ballot - STU;2010 Sept WGM/Ballot;Create New Standard;;"http://wiki.hl7.org/index.php?title=EHR_Interoperability_WG; 
http://wiki.hl7.org/index.php?title=Category:CDA_R3_Formal_Proposals";;Electronic Health Record;14/05/2007 08:00
184;Virtual Medical Record (vMR) for Clinical Decision Support;Clinical Decision Support Work Group;Public Health Work Group;Clinical;"Robert Dunlop; Kensaku Kawamoto";Archived;01/03/2010;08/03/2010;Ballot - Normative (no STU);2020 May WGM/Ballot;Create New Standard, Supplement to a Current Standard;;Project documentation will be deposited on the HL7 wiki site for the project: http://wiki.hl7.org/index.php?title=Virtual_Medical_Record_(vMR);;"V2 Messages-Clinical; V3 Documents-Clinical (e.g. CDA)";14/05/2007 08:00
172;Structured Documents Architecture;Structured Documents Work Group;;Administrative;Keith Boone;Archived;22/05/2007;22/05/2007;Ballot - Normative (no STU);2011 Jan WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Structured_Document_Architecture;;V3 Documents-Clinical (e.g. CDA);14/05/2007 08:00
174;Care Provision DSTU - Topic Allergy & Intolerances;Patient Care Work Group;Patient Safety Work Group, Pharmacy Work Group;Clinical;Stephen Chu, Susan Matney;Archived;22/05/2007;22/05/2007;Ballot - STU;2012 Sept WGM/Ballot;Create New Standard;;"http://wiki.hl7.org/index.php?title=Allergy_%26_Intolerance; 
http://www.hl7.org/dstucomments/ex_showdetail.cfm?dstuid=53";;;14/05/2007 08:00
201;Electronic Health Record Lifecycle Model;Electronic Health Records Work Group;;Administrative;Gary Dickinson;Archived;04/01/2008;12/11/2007;Ballot - STU;2010 Sept WGM/Ballot;;;;;Electronic Health Record;14/05/2007 08:00
175;Structured Product Labeling (SPL) - Release 4;Biomedical Research and Regulation Work Group;;Clinical;Edward  Tripp;Archived;22/05/2007;22/05/2007;;2009 Jany WGM;;;;;;14/05/2007 08:00
162;eLearning - Business Plan;Education Work Group;;;Jim McCain;Archived;;;- Other -;;----------- REQUIRED FIELD: SELECT AT LEAST ONE -----------;;;;;07/06/2007 08:00
181;CCOW Application Protection Package;Clinical Context Object Workgroup Work Group;;Administrative;David Staggs;Archived;28/08/2007;28/08/2007;;;;;;;CCOW;31/07/2007 08:00
183;CCOW User Authentication Protection Package;Clinical Context Object Workgroup Work Group;;Administrative;David Staggs;Archived;28/08/2007;28/08/2007;;;;;;;CCOW;31/07/2007 08:00
182;CCOW Context Manager Protection Package;Clinical Context Object Workgroup Work Group;;Administrative;David Staggs;Archived;28/08/2007;28/08/2007;;;;;;;CCOW;31/07/2007 08:00
178;Laboratory Test Result Abnormality Assessment;Biomedical Research and Regulation Work Group;;Clinical;Jennifer Neat;Archived;13/08/2007;13/08/2007;;2012 Jan WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Laboratory_Result-based_Adverse_Event_Assessment_Messaging_Project;;;02/08/2007 08:00
207;Distance Education Pilot Project (Distance Learning);Education Work Group, Marketing Work Group;;Organizational Support;Mark Shafarman;Archived;18/09/2007;18/09/2007;- Other -;;;;;;- Non Product Project -;17/09/2007 08:00
205;CDISC Content to Message;Biomedical Research and Regulation Work Group;;Clinical;Crystal Allard;Archived;30/11/2007;30/11/2007;Ballot - STU;2015 Sept WGM/Ballot;Create New Standard;;"http://wiki.hl7.org/index.php?title=Study_Design%2C_Study_Participation_and_Subject_Data
http://www.hl7.org/Special/committees/rcrim/index.cfm";;V3 Messages-Clinical;24/09/2007 08:00
332;Medicaid Information Technology Architecture (MITA) Project;Financial Management Work Group;;Administrative;Mary Kay McDaniel,;Archived;24/09/2007;24/09/2007;;2009 Jany WGM;;;http://mita.wikispaces.com/;;;24/09/2007 08:00
191;Arden Syntax 2.7;Arden Syntax Work Group;;Administrative;Matt Sailors;Archived;12/10/2007;04/01/2008;Ballot - Normative (no STU);- Select One -;;;;;Arden Syntax;28/09/2007 08:00
185;Child Health Functional Profile (Roadmap Project #4 (one of many));Child Health Work Group;;Clinical;Joy Kuhl, (Roadmap Leader: CEO);Archived;03/10/2007;03/10/2007;;- Select One -;;;;;;28/09/2007 08:00
186;Public Health Case Management;Public Health Work Group;;Clinical;Rita Altamore;Archived;22/06/2007;22/06/2007;Ballot - Comment;2009 Jany WGM;;;;;;01/10/2007 08:00
180;Gap Analysis of HL7 Standards Portfolio;Board of Directors Work Group;;None;Freida Hall;Archived;01/10/2007;01/10/2007;- Other -;- Select One -;;;;;- Non Product Project -;01/10/2007 08:00
187;Public Health Outbreak Management;Public Health Work Group;;Clinical;Rita Altamore;Archived;22/06/2007;22/06/2007;Ballot - Comment;2009 Jany WGM;;;;;- Non Product Project -;01/10/2007 08:00
190;Behavioral Health Functional Profile (Roadmap Project #4 (one of many));Electronic Health Records Work Group;;Administrative;Jim Kretz, (Roadmap Leader: CEO);Archived;14/04/2008;12/05/2008;Ballot - Normative (no STU);2009 Jany WGM;Create New Standard, - OTHER -;;;;Electronic Health Record;24/10/2007 08:00
193;Record Management & Evidentiary Support Electronic Health Record System Functional Profile (RMES EHR-S Functional Profile);Electronic Health Records Work Group;;Administrative;Michelle Dougherty;Archived;02/06/2008;16/06/2008;;- Select One -;Create New Standard;;;;Electronic Health Record;24/10/2007 08:00
213;General Lab Order IG - R1;Orders and Observations Work Group;;Administrative;Ken McCaslin;Archived;12/11/2007;04/01/2008;;2012 Jan WGM/Ballot;IG;;;;V2 Messages-Clinical;05/11/2007 08:00
195;Diagnostic Imaging Reports in CDA and DICOM;Imaging Integration Work Group;;Clinical;Liora Alschuler;Archived;22/05/2007;22/05/2007;Ballot - Informative;2009 Jany WGM;;;;;V3 Documents-Clinical (e.g. CDA);07/11/2007 08:00
321;Beeler Consulting for 2008;Board of Directors Work Group;;None;Dave Hamill, Woody Beeler;Archived;;;Vendor Contract;2009 Jany WGM;;;;;- Non Product Project -;02/01/2008 08:00
216;Cardiology Acute Coronary Syndrome (ACS) Domain Analysis Model;Clinical Interoperability Council Work Group;;Clinical;Brian McCourt;Archived;29/02/2008;03/03/2008;Ballot - Informative;;Create New Standard;;;;;25/01/2008 08:00
206;CCOW support of SAML Assertions;Clinical Context Object Workgroup Work Group;Security Work Group;Administrative;David Staggs;Archived;01/02/2008;11/02/2008;Ballot - Normative (no STU);2011 May WGM/Ballot;;;http://www.hl7.org/Special/committees/visual/index.cfm;;CCOW;25/01/2008 08:00
226;Risk Assessment Framework Cookbook;Security Work Group;;Infrastructure;WG Cochairs;Archived;14/02/2008;25/02/2008;- Other -;2010 Jan WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Cookbook_for_Security_Considerations;;SAIF Program;28/01/2008 08:00
223;EHR Vital Records Functional Profile (Roadmap Project #4 (one of many));Electronic Health Records Work Group;Public Health Work Group;Administrative;Hetty Khan, Michelle Williamson;Archived;04/02/2008;11/02/2008;Ballot - Informative;2012 May WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=PHER_Vital_Records-Related_Activities, http://wiki.hl7.org/index.php?title=EHR;;Electronic Health Record;28/01/2008 08:00
209;IG for CDA R2 - Lvl 3 Personal Healthcare Monitoring Reports, R1;Structured Documents Work Group;;Administrative;Barry Reinhold;Archived;04/02/2008;25/02/2013;Ballot - STU;2015 May WGM/Ballot;IG;;;;V3 Documents-Clinical (e.g. CDA);28/01/2008 08:00
221;Common Message Element Types (COCT) Release 8;Modeling and Methodology Work Group;;Infrastructure;Dale Nelson;Archived;14/02/2008;;Ballot - Normative (no STU);2009 Jany WGM;;;;;;28/01/2008 08:00
210;QRDA Draft Standard for Trial Use, Release 3;Clinical Quality Information Work Group;Structured Documents Work Group;Clinical;Yan Heras;STU - Test Period/Accepting Comments;07/12/2015;01/02/2016;Ballot - STU to Normative;2024 Jan WGM/Ballot;Supplement to a Current Standard, IG;QRDA-1, QRDA Category 1, QRDA Cat 1;http://wiki.hl7.org/index.php?title=Quality_Reporting_Document_Architecture ;Don't Know;V3 Documents-Clinical (e.g. CDA);28/01/2008 08:00
218;Patient Information Unspecified Attachment;Payer/Provider Info Exchange Work Group;;Clinical;Mike Cassidy;Archived;29/02/2008;03/03/2008;;2013 May WGM/Ballot;;;;;;28/01/2008 08:00
208;Plan-to-Plan PHR Data Transfer;Structured Documents Work Group;;Administrative;Liora Alschuler;Archived;28/01/2008;28/01/2008;Ballot - STU;- Select One -;Create New Standard;;http://wiki.hl7.org/index.php?title=Plan-to-Plan_Personal_Health_Record;;;28/01/2008 08:00
212;Clinical Research Functional Profile;Electronic Health Records Work Group;;Administrative;Mitra Rocca;Archived;13/10/2008;;Ballot - Normative (no STU);2009 Jany WGM;Revise Current Standard;;;;Electronic Health Record;28/01/2008 08:00
219;Core Principles and Properties of HL7 Version 3 Models;Modeling and Methodology Work Group;;Infrastructure;Woody Beeler;Archived;29/01/2008;20/03/2008;Ballot - Normative (no STU);2012 Sept WGM/Ballot;Create New Standard;;"http://gforge.hl7.org/gf/project/mnm-project/docman/?subdir=217; http://wiki.hl7.org/index.php?title=Core_Properties_of_V3_Models";;V3 Messages-Infrastructure;28/01/2008 08:00
224;Privacy and Authorization Terminology;Security Work Group;;Infrastructure;Suzanne Gonzales-Webb;Archived;29/01/2008;11/02/2008;Ballot - Normative (no STU);2010 May WGM/Ballot;;;"http://gforge.hl7.org/gf/project/security/docman/?subdir=134; http://gforge.hl7.org/gf/project/security/docman/?subdir=117; http://gforge.hl7.org/gf/project/security/docman/?subdir=105; http://gforge.hl7.org/gf/project/security/docman/?subdir=145; http://wiki.hl7.org/index.php?title=Role-Based_Access_Control_%28RBAC%29_Use_Cases";;;29/01/2008 08:00
204;HL7 Version 2.7 Messaging Standard;Publishing Work Group;;Organizational Support;"Anthony (Tony) Julian; Jane Foard, Hans Buitendijk";Archived;28/01/2008;28/01/2008;Ballot - Normative (no STU);2011 Jan WGM/Ballot;Create New Standard;;http://gforge.hl7.org/gf/project/v2-ballot-pkg/;;"V2 Messages-Clinical; V2 Messages-Departmental";29/01/2008 08:00
217;Regulated Product Submission Release 2;Biomedical Research and Regulation Work Group;;Clinical;Ed Tripp;Archived;28/03/2008;21/04/2008;Ballot - Normative (no STU);2013 Jan WGM/Ballot;;;"http://wiki.hl7.org/index.php?title=Regulated_Product_Submissions;
http://gforge.hl7.org/gf/project/rcrim/docman/?subdir=225";;;30/01/2008 08:00
214;A_ValuedItem CMET;Financial Management Work Group;;;Kathleen Connor;Archived;;;Ballot - Normative (no STU);;Create New Standard;;;;;04/02/2008 08:00
215;Tuberculosis Domain Analysis Model;Public Health Work Group;;Clinical;Michelle Williamson;Archived;29/02/2008;28/10/2008;Ballot - Informative;2009 Sept WGM/Ballot;;;;;Domain Analysis Model (DAM);04/02/2008 08:00
228;V3 Technical Editor, Phase II;Board of Directors Work Group;;None;Sarah Ryan, Jay Lyle, Charlie Mead;Archived;16/08/2007;16/08/2007;Vendor Contract;- Select One -;- OTHER -;;;;- Non Product Project -;21/02/2008 08:00
231;Identification of Medicinal Products (IDMP) Project;Pharmacy Work Group;;Clinical;Julie James;Archived;29/02/2008;03/03/2008;Ballot - Normative (no STU);2009 Jany WGM;Create New Standard;;;;;29/02/2008 08:00
232;HL7 V3 Rim Certification Test;Education Work Group;;;Virginia Lorenzi;Archived;;;- Other -;;;;;;- Non Product Project -;11/03/2008 08:00
250;Foundation Re-org Analysis Project;Architectural Review Work Group;;;Grahame Grieve, Charlie Mead;Archived;13/03/2008;;- Other -;;;;;;- Non Product Project -;13/03/2008 08:00
251;Dynamic Framework Requirements;Architectural Review Work Group;;None;John Koisch;Archived;13/05/2008;04/02/2008;;;Create New Standard, - OTHER -;;;;"V3 Messages-Infrastructure; V3 Services-Web Services (OMG)";17/03/2008 08:00
323;Web Strategy - Post Ascentium RFP;Publishing, Electronic Services and Tools Work Group;;Organizational Support;Dave Hamill;Archived;;;HQ Initiative;;- OTHER -;;;;- Non Product Project -;17/03/2008 08:00
275;Drug Stability Reporting (eStability);Biomedical Research and Regulation Work Group;;Clinical;Norman Gregory;Archived;28/03/2006;21/04/2008;Ballot - Normative (no STU);2012 Sept WGM/Ballot;Revise Current Standard;;"http://wiki.hl7.org/index.php?title=Drug_Stability_Reporting; 
http://www.estability.org/";;;24/03/2008 08:00
257;Searchable HL7 Project Database;Project Services Work Group;;Organizational Support;Dave Hamill;Archived;27/03/2008;31/03/2008;- Other -;;- OTHER -;;;;- Non Product Project -;25/03/2008 08:00
255;Plan to Plan Personal Health Record Data Transfer Webinar;Education Work Group, Electronic Health Records Work Group, Structured Documents Work Group;;Administrative, Organizational Support;Lenel James,;Archived;27/03/2008;31/03/2008;;;- OTHER -;;;;- Non Product Project -;27/03/2008 08:00
308;Vocabulary Conceptual Model;Vocabulary Work Group;;Infrastructure;Beverly Knight;Archived;08/04/2008;08/04/2008;;2009 Jany WGM;Supplement to a Current Standard;;;;;08/04/2008 08:00
307;Guide to Terminology Basics;Vocabulary Work Group;;Infrastructure;Beverly Knight ;Archived;;;;2009 Jany WGM;Supplement to a Current Standard;;;;;08/04/2008 08:00
311;U.S. Vital Records Domain Analysis Model (Roadmap Project #4 (one of many));Public Health Work Group;;Clinical;Michelle Williamson (Roadmap Leader: CEO);Archived;06/06/2008;16/06/2008;Ballot - Informative;2011 May WGM/Ballot;;;http://wiki.hl7.org/index.php?title=PHER_Vital_Records-Related_Activities;;Domain Analysis Model (DAM);02/05/2008 08:00
328;HL7 Implementation Guidance for Unique Object Identifiers (OIDs);Payer/Provider Info Exchange Work Group;Structured Documents Work Group;Clinical, Administrative;Rick Geimer;Archived;06/06/2008;16/06/2008;Ballot - Informative;2012 Jan WGM/Ballot;IG;;;;;08/05/2008 08:00
330;Special Authorization;Financial Management Work Group;;Administrative;Kathleen Connor;Archived;02/06/2008;16/06/2008;Ballot - STU;2011 May WGM/Ballot;Create New Standard, - OTHER -;;;;V3 Messages-Administrative;08/05/2008 08:00
259;Order Set Publication Standard;Clinical Decision Support Work Group;;Administrative;James R. Campbell MD;Archived;02/06/2008;06/07/2008;Ballot - STU;2014 Sept WGM/Ballot;Create New Standard;;;;V3 Documents-Knowledge;15/05/2008 08:00
319;IG for CDA Release 2 - Level 3 Healthcare Associated Infection Reports (HAI II);Structured Documents Work Group;;Administrative;Dan Pollock;Archived;06/07/2011;18/07/2011;Ballot - STU;2014 May WGM/Ballot;IG;;http://wiki.hl7.org/index.php?title=Healthcare_Associated_Infection_Reports;;V3 Documents-Clinical (e.g. CDA);15/05/2008 09:00
320;Detailed Clinical Models Release 1;Patient Care Work Group;Clinical Decision Support Work Group, Clinical Interoperability Council Work Group, Clinical Statement Work Group, Structured Documents Work Group, Templates Work Group;Clinical;Dr. William Goossen:;Archived;18/01/2010;10/12/2012;Ballot - STU to Normative;2014 May WGM/Ballot;Create New Standard, Supplement to a Current Standard;;http://wiki.hl7.org/index.php?title=Detailed_Clinical_Models;;"Electronic Health Record; Functional Profile; V2 Messages-Clinical; V3 Documents-Clinical (e.g. CDA); V3 Documents-Knowledge; V3 Foundation-Vocab Domains & Value Sets; V3 Messages-Clinical; V3 Rules-GELLO; V3 Services-Java Services (ITS SIG); V3 Services-Web Services (OMG)";20/05/2008 08:00
322;Long Term Care EHR-S Functional Profile (Roadmap Project #4 (one of many));Electronic Health Records Work Group;;Administrative;Sue Mitchell (Roadmap Leader: CEO);Archived;02/06/2008;16/06/2008;;2009 Jany WGM;Create New Standard;;;;Electronic Health Record;29/05/2008 08:00
324;Common Terminology Services - Release 2 (CTS 2) - Normative;Vocabulary Work Group;;Infrastructure;Russell Hamm;Archived;16/01/2012;30/01/2012;Ballot - Normative (no STU);2015 May WGM/Ballot;Revise Current Standard;;http://wiki.hl7.org/index.php?title=Common_Terminology_Services_-_Release_2_%28Normative%29 ;;V3 Services-Web Services (OMG);02/06/2008 08:00
331;CDA Product and Services Guide - Phase 1 and 2;Marketing Work Group;;None;Jill Kaufman, Gora Datta,;Archived;;;- Other -;;- OTHER -;;;;;17/06/2008 08:00
334;V3 Technical Editor - Phase 3;Board of Directors Work Group;;None;Sarah Ryan, Jay Lyle;Archived;20/06/2008;20/06/2008;Vendor Contract;2010 Jan WGM/Ballot;Revise Current Standard;;;;- Non Product Project -;27/06/2008 08:00
388;External Organization Task Force (Roadmap Pjt #15);Strategic Initiative Committee;;None;Don Mon, (Roadmap Leader: Chair);Archived;;;;2009 Sept WGM/Ballot;- OTHER -;;;;- Non Product Project -;01/07/2008 08:00
333;Gene Expression;Clinical Genomics Work Group;;Administrative;Joyce Hernandez;Archived;27/01/2009;09/02/2009;Ballot - Normative (no STU);2012 Sept WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Gene_Expression;;V3 Messages-Clinical;01/07/2008 08:00
389;Finalize MOU with IHE (Roadmap Pjt #16);Strategic Initiative Committee;;None;CEO, , (Roadmap Leader: CEO);Archived;;;;;- OTHER -;;;;- Non Product Project -;01/07/2008 08:00
329;Clinical Content Development, Harmonization and Definition (Roadmap Pjt #5,6,10);Clinical Interoperability Council Work Group;;Clinical;Ed Hammond, Crystal Kallem, Meredith Nahm;Archived;06/06/2008;16/06/2008;Ballot - Informative;2011 Jan WGM/Ballot;;;;;- New Product Definition -;01/08/2008 08:00
356;Common Clinical Product;Orders and Observations Work Group;;Administrative;Mead Walker, Tom de Jong;Archived;13/10/2008;28/10/2008;Ballot - Informative;;- OTHER -;;;;- New Product Definition -;04/08/2008 08:00
463;Beeler Consulting for 2009;;;None;Dave Hamill, Woody Beeler;Archived;21/01/2009;21/01/2009;;- Select One -;;;;;- Non Product Project -;08/08/2008 08:00
196;Genetic Variation;Clinical Genomics Work Group;;Administrative;Amnon Shabo, Rick Haddorff;Archived;04/08/2008;20/07/2009;Ballot - Informative;2010 Sept WGM/Ballot;Revise Current Standard, Supplement to a Current Standard;;;;;26/08/2008 08:00
387;Cultivate a relationship with Q-REC / encourage references to the EHR-S FM (Roadmap Pjt #14);Strategic Initiative Committee;;None;Don Mon, (Roadmap Leader: CEO);Archived;;;;- Select One -;;;;;- Non Product Project -;01/09/2008 08:00
